utc,anio,mes,dia,hora,minuto,segundo,usuario,ip,navegador,pantallax,pantallay,ventanax,ventanay,extra1,extra2,referencia,ciudad,extra3,extra4,pais
1457262942,2016,3,6,12,15,42,,88.24.92.85,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",1920,1080,1877,933,jocarsa.com,http://jocarsa.com/,es,false,Spain,,
1382029348,2013,10,17,19,2,28,,217.29.149.150,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",1280,720,1280,659,jocarsa.com,http://www.josevicentecarratala.com/jocarsa/,,,es,true,Austria
1382029976,2013,10,17,19,12,56,,217.29.149.150,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",1920,1080,1920,979,jocarsa.com,http://www.josevicentecarratala.com/jocarsa/,,,es,true,Austria
1382031492,2013,10,17,19,38,12,,217.29.149.150,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",1280,720,1280,659,jocarsa.com,http://www.josevicentecarratala.com/jocarsa/,,,es,true,Austria
1382031542,2013,10,17,19,39,2,,217.29.149.150,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",1920,1080,1920,979,jocarsa.com,http://www.josevicentecarratala.com/jocarsa/,,,es,true,Austria
1382031583,2013,10,17,19,39,43,,217.29.149.150,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",1920,1080,1920,979,jocarsa.com,http://www.josevicentecarratala.com/jocarsa/,,,es,true,Austria
1382031903,2013,10,17,19,45,3,,217.29.149.150,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",1920,1080,1920,979,jocarsa.com,http://www.josevicentecarratala.com/jocarsa/,,,es,true,Austria
1382032023,2013,10,17,19,47,3,,84.123.27.109,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",1600,900,1600,767,jocarsa.com,http://www.josevicentecarratala.com/jocarsa/,,,es,true,Spain
1382032054,2013,10,17,19,47,34,,84.123.27.109,"Mozilla/5.0 (Linux; Android 4.2.2; GT-I9505 Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.82 Mobile Safari/537.36",360,640,980,1543,jocarsa.com,http://www.josevicentecarratala.com/jocarsa/,,,es,true,Spain
1382032181,2013,10,17,19,49,41,,84.123.27.109,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",1600,900,1600,767,jocarsa.com,http://www.josevicentecarratala.com/jocarsa/,,,es,true,Spain
1382033031,2013,10,17,20,3,51,,85124165235,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",1280,800,1280,698,jocarsa.com,http://www.josevicentecarratala.com/jocarsa/,,,es,true,Austria
1382034702,2013,10,17,20,31,42,,85124165235,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",1280,800,1280,694,jocarsa.com,http://www.josevicentecarratala.com/jocarsa/,,,es,true,Austria
1382038126,2013,10,17,21,28,46,,90169211116,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0,1920,1200,1920,1096,jocarsa.com,http://www.josevicentecarratala.com/jocarsa/,,,es-ES,true,Spain
1382038528,2013,10,17,21,35,28,,85124165235,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",1280,800,1280,737,jocarsa.com,http://www.josevicentecarratala.com/jocarsa/,,,es,true,Austria
1382040264,2013,10,17,22,4,24,,187.163.88.143,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36",1366,768,1366,643,jocarsa.com,http://www.josevicentecarratala.com/jocarsa/,,,es,true,Mexico
1382042869,2013,10,17,22,47,49,,200.76.91.208,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36",1366,768,1366,667,jocarsa.com,http://www.josevicentecarratala.com/jocarsa/,,,es-419,true,Mexico
1382042900,2013,10,17,22,48,20,,200.76.91.102,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36",1366,768,1366,667,jocarsa.com,http://www.josevicentecarratala.com/jocarsa/,,,es-419,true,Mexico
1382045999,2013,10,17,23,39,59,,181177231170,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",1360,768,1360,667,jocarsa.com,http://www.josevicentecarratala.com/jocarsa/,,,es,true,Peru
1382046204,2013,10,17,23,43,24,,181.55.25.2,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36",1366,768,1366,643,jocarsa.com,http://www.josevicentecarratala.com/jocarsa/,,,es,true,Colombia
1382047831,2013,10,18,0,10,31,,85124165235,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",1280,800,1280,737,jocarsa.com,http://www.josevicentecarratala.com/jocarsa/,,,es,true,Austria
1382050368,2013,10,18,0,52,48,,190.178.88.84,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",1920,1080,1920,912,jocarsa.com,http://www.josevicentecarratala.com/jocarsa/,,,es,true,Argentina
1382050446,2013,10,18,0,54,6,,190.178.88.84,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",1920,1080,2133,1013,jocarsa.com,http://www.josevicentecarratala.com/jocarsa/,,,es,true,Argentina
